start reading files at Sun Dec  3 16:15:13 2023

omp_get_num_threads()=4
Invalid line in data file "TypeOutput				1	1	1	1
"
Invalid line in data file "
"
start initialization at Sun Dec  3 16:15:13 2023

N0a = 9.743096e-01, count=36
N0p = 5.500161e-01, count=8
line:1206 CellCount[DIM]: 35 12 1
line:1207 TotalCellCount: 420
line:1212 CellWidth[DIM]: 1.785714e-02 1.875000e-02 2.000000e-02
start main roop at Sun Dec  3 16:15:14 2023

@ Prof Output Time : 0.000000e+00
line:4564, iter,=123, rr0=,3.838726e+10, rr=,3.622274e-02, rs0=,1.462404e+02, rs=,7.570797e-12
line:4564, iter,=229, rr0=,2.291586e+14, rr=,2.121737e+02, rs0=,9.487881e+05, rs=,4.817035e-08
line:4564, iter,=229, rr0=,2.317207e+14, rr=,2.149975e+02, rs0=,9.591613e+05, rs=,4.879306e-08
line:4564, iter,=229, rr0=,2.342943e+14, rr=,2.177217e+02, rs0=,9.695795e+05, rs=,4.937948e-08
line:4564, iter,=229, rr0=,2.368795e+14, rr=,2.202469e+02, rs0=,9.800421e+05, rs=,4.992693e-08
line:4564, iter,=229, rr0=,2.394763e+14, rr=,2.226110e+02, rs0=,9.905486e+05, rs=,5.043219e-08
line:4564, iter,=229, rr0=,2.420849e+14, rr=,2.248546e+02, rs0=,1.001101e+06, rs=,5.090262e-08
line:4564, iter,=229, rr0=,2.447050e+14, rr=,2.269231e+02, rs0=,1.011696e+06, rs=,5.133350e-08
line:4564, iter,=229, rr0=,2.473369e+14, rr=,2.288634e+02, rs0=,1.022337e+06, rs=,5.172752e-08
line:4564, iter,=228, rr0=,2.499804e+14, rr=,2.495663e+02, rs0=,1.033022e+06, rs=,5.586135e-08
line:4564, iter,=228, rr0=,2.526358e+14, rr=,2.513629e+02, rs0=,1.043756e+06, rs=,5.623464e-08
line:4564, iter,=228, rr0=,2.553030e+14, rr=,2.530994e+02, rs0=,1.054536e+06, rs=,5.659108e-08
line:4564, iter,=228, rr0=,2.579821e+14, rr=,2.547943e+02, rs0=,1.065367e+06, rs=,5.693015e-08
line:4564, iter,=228, rr0=,2.606731e+14, rr=,2.564495e+02, rs0=,1.076246e+06, rs=,5.726381e-08
line:4564, iter,=228, rr0=,2.633760e+14, rr=,2.582038e+02, rs0=,1.087175e+06, rs=,5.759930e-08
line:4564, iter,=228, rr0=,2.660910e+14, rr=,2.530718e+02, rs0=,1.098154e+06, rs=,5.659288e-08
line:4564, iter,=228, rr0=,2.688181e+14, rr=,2.617196e+02, rs0=,1.109183e+06, rs=,5.824043e-08
line:4564, iter,=228, rr0=,2.715572e+14, rr=,2.634935e+02, rs0=,1.120265e+06, rs=,5.863569e-08
line:4564, iter,=228, rr0=,2.743086e+14, rr=,2.653362e+02, rs0=,1.131401e+06, rs=,5.899907e-08
line:4564, iter,=228, rr0=,2.770723e+14, rr=,2.674253e+02, rs0=,1.142590e+06, rs=,5.940645e-08
line:4564, iter,=228, rr0=,2.798483e+14, rr=,2.695373e+02, rs0=,1.153833e+06, rs=,5.982647e-08
line:4564, iter,=228, rr0=,2.826367e+14, rr=,2.717239e+02, rs0=,1.165132e+06, rs=,6.026383e-08
line:4564, iter,=228, rr0=,2.854376e+14, rr=,2.740222e+02, rs0=,1.176488e+06, rs=,6.073013e-08
line:4564, iter,=228, rr0=,2.882510e+14, rr=,2.763818e+02, rs0=,1.187900e+06, rs=,6.121500e-08
line:4564, iter,=228, rr0=,2.910770e+14, rr=,2.788391e+02, rs0=,1.199370e+06, rs=,6.171795e-08
line:4564, iter,=228, rr0=,2.939157e+14, rr=,2.813912e+02, rs0=,1.210898e+06, rs=,6.224369e-08
line:4564, iter,=228, rr0=,2.967671e+14, rr=,2.840766e+02, rs0=,1.222487e+06, rs=,6.279778e-08
line:4564, iter,=228, rr0=,2.996313e+14, rr=,2.868771e+02, rs0=,1.234137e+06, rs=,6.337458e-08
line:4564, iter,=228, rr0=,3.025084e+14, rr=,2.897322e+02, rs0=,1.245849e+06, rs=,6.397010e-08
line:4564, iter,=228, rr0=,3.053985e+14, rr=,2.925956e+02, rs0=,1.257623e+06, rs=,6.458167e-08
line:4564, iter,=228, rr0=,3.083017e+14, rr=,2.955794e+02, rs0=,1.269460e+06, rs=,6.521162e-08
line:4564, iter,=228, rr0=,3.112180e+14, rr=,2.985108e+02, rs0=,1.281361e+06, rs=,6.584895e-08
line:4564, iter,=228, rr0=,3.141475e+14, rr=,3.015962e+02, rs0=,1.293327e+06, rs=,6.651109e-08
line:4564, iter,=228, rr0=,3.170903e+14, rr=,3.046972e+02, rs0=,1.305359e+06, rs=,6.718340e-08
